type,title,country,date_added,release_year,rating,duration,listed_in,description,target_ages
TV Show,One More Time,South Korea,"March 10, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",fantasi drama follow indi band singer repeatedli undergo unwant time slip girlfriend must save unlucki fate,Teens
Movie,The Butterfly's Dream,Turkey,"March 10, 2017",2013,TV-PG,118 min,"Dramas, International Movies, Romantic Movies",forc work coal mine world war ii two young poet find escap fall woman,Older Kids
Movie,Amy Schumer: The Leather Special,United States,"March 7, 2017",2017,TV-MA,57 min,Stand-Up Comedy,comic sensat ami schumer riff sex date absurd fame bold uncensor standup set denver bellco theater,Adults
TV Show,Love Is in the Air,United Kingdom,"March 1, 2017",2010,TV-14,1 Season,"International TV Shows, TV Dramas",toprak lost babi hire wet nurs wealthi yusuf motherless son yusuf drawn toprak also scheme sister,Teens
Movie,Nila,India,"March 1, 2017",2016,TV-MA,94 min,"Dramas, International Movies, Romantic Movies",cabbi chanc upon childhood sweetheart tri rekindl old feel find matur love complic matter,Adults
TV Show,Tong: Memories,South Korea,"March 1, 2017",2016,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",tough young man short temper patienc bulli gain legendari reput best street fighter busan,Adults
Movie,Mike Birbiglia: Thank God for Jokes,United States,"February 28, 2017",2017,TV-MA,71 min,Stand-Up Comedy,comedian mike birbiglia take stage brooklyn hit hard truth puppet late peopl real danger funni,Adults
Movie,Force 2,India,"February 27, 2017",2016,TV-14,123 min,"Action & Adventure, International Movies",excop investig death best friend two spi kill lead mole oper india embassi budapest,Teens
Movie,Jonas,Brazil,"February 26, 2017",2015,TV-MA,97 min,"Dramas, International Movies",carniv two teen differ class meet year kept apart bad decis lead boy hide girl insid float,Adults
Movie,Operações Especiais,Brazil,"February 25, 2017",2015,TV-MA,99 min,"Action & Adventure, International Movies",crimeplagu area rio de janeiro team honest cop includ determin rooki fight corrupt mistrust side,Adults
Movie,I Don't Feel at Home in This World Anymore,United States,"February 24, 2017",2017,TV-MA,97 min,"Dramas, Independent Movies, Thrillers",timid nurs assist get new leas life neighborhood loner track degener broke hous,Adults
TV Show,Legend Quest,Mexico,"February 24, 2017",2017,TV-Y7,1 Season,Kids' TV,evil forc threaten villag gift teen talk ghost put skill good use one legend time,Older Kids
TV Show,The Sound of Your Heart,South Korea,"February 24, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",base korea longestrun webtoon seri comedi follow ridicul daili live cartoonist girlfriend subpar famili,Teens
TV Show,Love Me As I Am,Turkey,"February 22, 2017",2015,TV-PG,3 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",wealthi colleg boy ömer lower class colleg girl aysem fall love quickli marri learn love life arent alway perfect,Older Kids
Movie,Trevor Noah: Afraid of the Dark,United States,"February 21, 2017",2017,TV-14,67 min,Stand-Up Comedy,daili show host ponder peril name countri traffic light turn new yorker invinc shouldnt drink scotland,Teens
Movie,Boy Missing,Spain,"February 19, 2017",2016,TV-MA,105 min,"International Movies, Thrillers",son kidnap later found traumat lawyer take justic hand caus event spiral control,Adults
Movie,Growing Up Wild,United States,"February 19, 2017",2016,G,78 min,"Children & Family Movies, Documentaries",five babi anim differ part world grow learn surviv wild nurtur love guidanc famili,Kids
Movie,Tini: The New Life of Violetta,"Spain, Italy, Argentina","February 19, 2017",2016,G,99 min,"Children & Family Movies, Music & Musicals",complet world tour teen pop star spend summer italian villa recov heartbreak grow matur artist,Kids
TV Show,Love for Ten: Generation of Youth,South Korea,"February 17, 2017",2013,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",nerdi engin student fall pretti outgo girl colleg get closer join theater group belong,Teens
Movie,Rocky Handsome,India,"February 17, 2017",2016,TV-MA,119 min,"Action & Adventure, International Movies",reclus pawn shop owner set sight reveng viciou gangster kidnap drugaddict neighbor young daughter,Adults
Movie,A Heavy Heart,Germany,"February 15, 2017",2015,TV-MA,109 min,"Dramas, Independent Movies, International Movies",long past heyday stillviril boxer tri reconnect daughter confront onset termin degen neural disord,Adults
TV Show,Nightmare High,South Korea,"February 15, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",new teacher arriv student dream begin come true class presid yerim must solv nightmarish mysteri late,Teens
Movie,Rush: Beyond the Lighted Stage,Canada,"February 15, 2017",2010,TV-MA,107 min,"Documentaries, Music & Musicals",celebr remark 40year career influenti canadian rocker rush documentari detail band format evolut,Adults
TV Show,Spark,South Korea,"February 15, 2017",2016,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",young woman life get jumpstart music geniu struck fall star side effect derail love,Older Kids
Movie,The Fury of a Patient Man,Spain,"February 15, 2017",2016,TV-MA,92 min,"International Movies, Thrillers",lover kill jewelri store robberi quiet josé romanc café owner ana who unawar motiv,Adults
Movie,The Memory of Water,"Chile, Spain, Argentina, Germany","February 15, 2017",2015,TV-MA,88 min,"Dramas, International Movies",accident death coupl young son send griev opposit direct theyr forc reexamin life marriag,Adults
Movie,Girlfriend's Day,United States,"February 14, 2017",2017,TV-MA,71 min,"Comedies, Independent Movies",he caught deadli conspiraci unemploy greet card writer must creat perfect card new holiday save skin,Adults
Movie,Katherine Ryan: In Trouble,United Kingdom,"February 14, 2017",2017,TV-MA,64 min,Stand-Up Comedy,standup comic katherin ryan reminisc unusu relationship life hometown hate time enrag entir nation,Adults
TV Show,White Nights,South Korea,"February 14, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",coldheart heiress man past ambiti new hire compani becom entangl battleground money power,Teens
TV Show,Cyborg 009: Call of Justice,Japan,"February 10, 2017",2017,TV-14,1 Season,"Anime Series, International TV Shows",year take normal live incognito cyborg forc fight superhuman bless appear plan human,Teens
Movie,David Brent: Life on the Road,"United Kingdom, United States","February 10, 2017",2016,TV-MA,97 min,"Comedies, International Movies, Music & Musicals",offic long past middl salesman david brent ditch work goe tour rock band disastr stab stardom,Adults
Movie,Grillo vs Grillo,Italy,"February 10, 2017",2017,TV-MA,96 min,Stand-Up Comedy,outspoken comedian bepp grillo reminisc long career includ triumph controversi fuel rise italian polit,Adults
Movie,Hitler - A Career,West Germany,"February 10, 2017",1977,TV-MA,150 min,"Documentaries, International Movies",documentari examin adolf hitler talent manipul psycholog imagemak led humbl origin nearworld conquest,Adults
Movie,"Michael Bolton's Big, Sexy Valentine's Day Special",United States,"February 7, 2017",2017,TV-MA,54 min,"Comedies, Music & Musicals, Romantic Movies",santa tell need 75000 new babi christma meet toy suppli michael bolton host telethon inspir world make love,Adults
Movie,Daniel Sosa: Sosafado,Mexico,"February 3, 2017",2017,TV-MA,78 min,Stand-Up Comedy,comedian daniel sosa inhabit variou charact includ tupperwar dealer thirsti priest trojan hors soldier standup special,Adults
Movie,Imperial Dreams,United States,"February 3, 2017",2014,TV-MA,86 min,Dramas,young father return home jail eager care son becom writer crime poverti flaw system threaten plan,Adults
Movie,Dilwale,India,"February 1, 2017",2015,TV-PG,154 min,"Action & Adventure, Dramas, International Movies",young coupl fall love conflict loyalti drive apart year later fate interven hand second chanc,Older Kids
Movie,Happy New Year,India,"February 1, 2017",2014,TV-14,179 min,"Action & Adventure, Comedies, Dramas",revengeseek diamond thief gather ragtag crew infiltr dubai hotel host danc contest first learn danc,Teens
Movie,Haraamkhor,India,"February 1, 2017",2015,TV-14,93 min,"Dramas, Independent Movies, International Movies",selfish manipul schoolteach take advantag schoolgirl vulner gratifi dark narcissist desir,Teens
Movie,Heroes Wanted,Spain,"February 1, 2017",2016,TV-MA,97 min,"Action & Adventure, Comedies, International Movies",special op agenc wipe spain hastili assembl new team defus terrorist plot scrappi wouldb hero,Adults
Movie,The Reconquest,Spain,"February 1, 2017",2016,TV-MA,108 min,"Dramas, International Movies, Romantic Movies",year childhood sweetheart manuela olmo share night madrid discuss past possibl futur,Adults
Movie,Zapped,"Canada, United States","February 1, 2017",2014,TV-Y,92 min,"Children & Family Movies, Comedies",girl discov dogtrain app get boy obey everi command soon learn isnt cureal hope,Kids
Movie,Bill Burr: Walk Your Way Out,United States,"January 31, 2017",2017,TV-MA,78 min,Stand-Up Comedy,nononsens comic bill burr take stage nashvil riff fast food overpopul dictat gorilla sign languag,Adults
Movie,Semana Santa,Mexico,"January 31, 2017",2015,TV-MA,87 min,"Dramas, International Movies",singl mother boyfriend 8yearold son take weeklong resort vacat secret relationship strain take toll,Adults
Movie,Journey to Greenland,France,"January 29, 2017",2016,TV-14,99 min,"Comedies, International Movies",flee pari remot villag greenland two parttim actor becom immers archaic inuit cultur forg unexpect bond,Teens
Movie,IBOY,United Kingdom,"January 27, 2017",2017,TV-MA,91 min,"International Movies, Sci-Fi & Fantasy, Thrillers",shard cell phone get lodg teenag brain discov control electron devic use newfound power reveng,Adults
Movie,O Silêncio do Céu,Brazil,"January 25, 2017",2016,TV-MA,102 min,"Dramas, International Movies",rape home marri woman choos tell husband unawar troubl secret plan reveng,Adults
Movie,Cristela Alonzo: Lower Classy,United States,"January 24, 2017",2017,TV-MA,67 min,Stand-Up Comedy,irrepress alonzo skewer latino stereotyp pricey luxuri mother toughlov parent night sli infecti comedi,Adults
Movie,Gad Gone Wild,France,"January 23, 2017",2017,TV-MA,57 min,Stand-Up Comedy,french comic gad elmaleh regal montreal crowd tale awkward mixup baffl custom he encount sinc move us,Adults
Movie,Pink,India,"January 20, 2017",2016,TV-14,130 min,"Dramas, International Movies",sexual assault victim unjustli tri attempt murder attack defend retir lawyer challeng india rape cultur,Teens
Movie,Take the 10,United States,"January 20, 2017",2017,TV-MA,80 min,Comedies,two buddi work deadend cashier job endur mindblow seri event quest get hiphop show live,Adults
Movie,Neal Brennan: 3 Mics,United States,"January 17, 2017",2017,TV-MA,66 min,Stand-Up Comedy,wick onelin soulbar confess converg uniqu intim standup special chappel show cocreat neal brennan,Adults
Movie,Berlin Calling,Germany,"January 15, 2017",2008,TV-MA,105 min,"Dramas, International Movies, Music & Musicals",dj ickaru top game dazzl fan tour world get lock looni bin take mani drug,Adults
Movie,Sarajevo,"Austria, Czech Republic","January 15, 2017",2014,TV-PG,98 min,"Dramas, International Movies",task unravel assassin archduk franz ferdinand honor magistr find target shadowi perpetr,Older Kids
Movie,Stereo,Germany,"January 15, 2017",2014,TV-MA,91 min,"International Movies, Thrillers",erik peac rural famili life shaken arriv sinist figur claim know mysteri friend may even exist,Adults
Movie,We Are Young. We Are Strong.,Germany,"January 15, 2017",2014,TV-MA,123 min,"Dramas, International Movies",1992 three radic differ resid rostock germani becom entangl violent xenophob riot rock beleagu citi,Adults
Movie,Casablancas: The Man Who Loved Women,France,"January 13, 2017",2016,TV-14,82 min,"Documentaries, International Movies",rise smash success elit model agenc founder john casablanca chronicl biographi man invent supermodel,Teens
Movie,Clinical,United States,"January 13, 2017",2017,TV-MA,104 min,"Horror Movies, Thrillers",psychiatrist plagu flashback terrifi attack treat new patient horribl disfigur accid,Adults
Movie,Very Big Shot,"Lebanon, Qatar","January 12, 2017",2015,TV-MA,109 min,"Comedies, Dramas, International Movies",three brother struggl go straight becom target crimin underworld use make movi front transport drug,Adults
Movie,Jim Gaffigan: Cinco,United States,"January 10, 2017",2017,TV-14,74 min,Stand-Up Comedy,america king clean comedi deliv wickedli funni joke fifth hourlong special,Teens
TV Show,We're Lalaloopsy,United States,"January 10, 2017",2017,TV-Y,1 Season,"Kids' TV, TV Comedies",lalaloopsi gang ador pet know everi day perfect day celebr magic friendship creativ collabor,Kids
Movie,Under the Shadow,"United Kingdom, Jordan, Qatar, Iran","January 7, 2017",2016,PG-13,84 min,"Horror Movies, International Movies, Thrillers",iraniraq conflict tehran woman care daughter husband war gradual convinc evil spirit work,Teens
Movie,Coin Heist,United States,"January 6, 2017",2017,TV-14,98 min,"Children & Family Movies, Dramas",crisi threaten destroy high school four teen hatch dare plan rais 10 million step one break us mint,Teens
Movie,LEGO: Marvel Super Heroes: Maximum Overload,United States,"January 6, 2017",2013,TV-Y7,22 min,Children & Family Movies,villain loki amass armi conquer earth antic keep spiderman shield busi tackl host bad guy,Older Kids
Movie,Rampage: President Down,Canada,"January 5, 2017",2016,TV-MA,100 min,"Action & Adventure, International Movies",lonewolf vigilant bill williamson back take aim us govern elud pursuit two fbi agent trail,Adults
Movie,Marvel's Hulk: Where Monsters Dwell,United States,"January 4, 2017",2016,PG,75 min,"Children & Family Movies, Sci-Fi & Fantasy",halloween hulk dr strang battl monster wreak havoc new york uncov evil plot nightmar ruler dream dimens,Older Kids
Movie,Jen Kirkman: Just Keep Livin’?,United States,"January 3, 2017",2017,TV-MA,69 min,Stand-Up Comedy,incis comic jen kirkman get real women bodi valu alon time italian privat tour guid may ghost,Adults
Movie,Autohead,India,"January 1, 2017",2016,TV-MA,97 min,"Dramas, International Movies, Thrillers",product crew think make documentari humbl mumbai rickshaw driver unmask horrifi truth film subject,Adults
Movie,Bee Movie,United States,"January 1, 2017",2007,PG,92 min,"Children & Family Movies, Comedies",barri worker bee stuck deadend job make honey sue human learn theyv steal bee nectar along,Older Kids
Movie,Headwinds,"France, Belgium","January 1, 2017",2011,TV-MA,92 min,"Dramas, Independent Movies, International Movies",wife inexplic disappear man take two children reloc hometown attempt end grief move,Adults
TV Show,Star Trek: Deep Space Nine,United States,"January 1, 2017",1999,TV-14,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",star trek spinoff command sisko lead multispeci crew deep space nine feder space station complex mission,Teens
Movie,Udta Punjab,India,"January 1, 2017",2016,TV-MA,146 min,"Dramas, International Movies",drug abus darker side punjab rear head intens interwoven tale cop doctor migrant worker rock star,Adults
Movie,Mr. Pig,Mexico,"December 31, 2016",2016,TV-MA,97 min,"Dramas, Independent Movies, International Movies",age california pig farmer whose properti brink foreclosur make lastditch trip across border sell prize hog,Adults
TV Show,My Runway,South Korea,"December 30, 2016",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",egotist top male model pretti model wannab forc live other live figur way undo bodi switch,Teens
TV Show,AJIN: Demi-Human,Japan,"December 27, 2016",2016,TV-MA,2 Seasons,"Anime Series, International TV Shows",teenag discov ajin flee author experi ajin plan fight back must choos side,Adults
TV Show,Chasing Cameron,United States,"December 27, 2016",2016,TV-14,1 Season,"Reality TV, Teen TV Shows",go behind scene social media sensat cameron dalla take career next level intern tour,Teens
Movie,7:19,Mexico,"December 23, 2016",2016,TV-MA,93 min,"Dramas, International Movies",devast earthquak hit mexico citi trap survivor walk life wait rescu tri desper stay aliv,Adults
Movie,Garfunkel and Oates: Trying to be Special,United States,"December 23, 2016",2016,TV-MA,62 min,"Music & Musicals, Stand-Up Comedy",garfunkel oat put surprisefil show seattl hope rais enough money make comedi special,Adults
TV Show,Sense8,United States,"December 23, 2016",2018,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",creator matrix babylon 5 come tens seri eight peopl telepath experi other live,Adults
Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,"France, South Korea, Japan","December 20, 2016",2016,TV-Y7,22 min,Movies,parisian teen marinett transform superhero ladybug find lone secret crush adrien run away home christma,Older Kids
Movie,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,United States,"December 20, 2016",2016,TV-14,88 min,Stand-Up Comedy,hawaiianshirt enthusiast gabriel fluffi iglesia find laugh racist gift basket priusdriv cop allfemal taco truck,Teens
Movie,Barry,United States,"December 16, 2016",2016,TV-MA,105 min,Dramas,young barack obama forg ident deal race diverg cultur ordinari life new york citi colleg student,Adults
TV Show,Crazyhead,United Kingdom,"December 16, 2016",2016,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Comedies",bowl alley worker ami nonconformist raquel kick seriou demon butt also face inner demon navig earli 20,Adults
Movie,Sister Cities,United States,"December 16, 2016",2016,TV-MA,88 min,Dramas,year estrang four sister gather wake mother death may may suicid,Adults
Movie,3 Türken & ein Baby,Germany,"December 15, 2016",2015,TV-MA,93 min,"Comedies, International Movies",live three dissatisfi brother run famili bridal shop turn topsyturvi one care exgirlfriend babi,Adults
TV Show,Color of Woman,South Korea,"December 15, 2016",2012,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",two women cosmet compani compet love success one use brain dilig work beauti charm,Older Kids
Movie,Eddie - Strongman,United Kingdom,"December 15, 2016",2015,TV-MA,98 min,"Documentaries, Sports Movies",british strongman eddi hall want strongest man world documentari reveal gruel life choic fuel obsess,Adults
TV Show,Goodbye My Wife,South Korea,"December 15, 2016",2012,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",coupl fiveyear marriag put line first love come back hope anoth shot romanc,Teens
TV Show,Happy And,South Korea,"December 15, 2016",2012,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",relat relationship drama explor reallif trial joy marri life len 11 differ wive,Teens
TV Show,Heaven's Garden,South Korea,"December 15, 2016",2011,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",husband goe jail bankruptci woman take two daughter live father sever tie year ago,Adults
TV Show,Ice Fantasy,China,"December 15, 2016",2016,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",ice tribe princ journey sacr mountain vanquish evil soon find war fire tribe led longlost brother,Teens
TV Show,Immortal Classic,South Korea,"December 15, 2016",2012,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",two renown culinari famili led legendari food icon battl posit greatest chef protect secret kimche recip,Teens
TV Show,InuYasha,Japan,"December 15, 2016",2001,TV-14,2 Seasons,"Anime Series, International TV Shows",yank well schoolgirl kagom higurashi emerg feudal japan must reassembl sacr jewel elud halfdemon inuyasha,Teens
TV Show,K-POP Extreme Survival,South Korea,"December 15, 2016",2012,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",seung yeon decid chase dream becom kpop star audit popular group there one catch boy band,Teens
TV Show,Merlin,United Kingdom,"December 15, 2016",2012,TV-PG,5 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure",familyori retel king arthur legend find merlin arriv camelot hone magic skill help uncl,Older Kids
TV Show,Miss Panda & Mr. Hedgehog,South Korea,"December 15, 2016",2012,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",gift patissi gloomi past meet bright easygo café owner begin shed thorn learn love,Older Kids
Movie,Sand Storm,"Israel, Germany, France","December 15, 2016",2016,TV-PG,88 min,"Dramas, Independent Movies, International Movies",bedouin patriarch take second bride first wife chafe chang statu daughter chase dream autonomi,Older Kids
TV Show,Tokyo Trial,"Canada, Japan, Netherlands","December 13, 2016",2017,TV-MA,1 Season,"International TV Shows, TV Dramas",wake world war ii 11 alli judg task weigh fate japanes war crimin tens intern trial,Adults
Movie,Ricardo O'Farrill: Abrazo navideño,Mexico,"December 12, 2016",2016,TV-MA,31 min,Stand-Up Comedy,express ricardo ofarril use astut comed sensibl teas christma tradit even santa clau escap unscath,Adults
Movie,Asperger's Are Us,United States,"December 11, 2016",2016,TV-MA,83 min,Documentaries,comedi troup four friend autism spectrum prepar final show member go separ way,Adults
TV Show,Captive,United Kingdom,"December 9, 2016",2016,TV-MA,1 Season,"Crime TV Shows, Docuseries",documentari seri reconstruct histori complex highstak hostag negoti kidnap victim recount terrifi ordeal,Adults
Movie,Mariah Carey's Merriest Christmas,United States,"December 9, 2016",2015,TV-G,38 min,"Children & Family Movies, Music & Musicals",pop music superstar mariah carey host allstar holiday celebr special guest celebr read night christma,Kids
Movie,Spectral,"United States, Hungary","December 9, 2016",2016,TV-14,108 min,"Action & Adventure, Sci-Fi & Fantasy",otherworldli forc wreak havoc wartorn european citi engin team elit special op unit stop,Teens
TV Show,White Rabbit Project,United States,"December 9, 2016",2016,TV-14,1 Season,"Docuseries, International TV Shows, Reality TV",kari byron tori belleci grant imahara rank histori greatest invent heist seri produc mythbust,Teens
TV Show,Miss in Kiss,Taiwan,"December 8, 2016",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",quirk fate send ordinari sweetnatur high school girl father home school geniu huge crush,Teens
Movie,Other People,United States,"December 8, 2016",2016,TV-MA,97 min,"Comedies, Dramas, Independent Movies",bad breakup struggl new york comedi writer tri brave face care die mother sacramento,Adults
TV Show,The Cuba Libre Story,"France, Germany","December 8, 2016",2015,TV-14,1 Season,"Docuseries, International TV Shows",documentari seri recount tumultu histori cuba nation foreign conquest freedom fighter cold war polit machin,Teens
Movie,Blue Jay,United States,"December 6, 2016",2016,TV-MA,81 min,"Dramas, Independent Movies, Romantic Movies",two former high school sweetheart unexpectedli reunit old hometown rediscov magic bond face share regret,Adults
Movie,One in a Billion,United States,"December 6, 2016",2016,TV-14,70 min,"Documentaries, Sports Movies",follow journey satnam singh bhamara work fulfil dream becom first indiaborn player draft nba,Teens
Movie,Reggie Watts: Spatial,United States,"December 6, 2016",2016,TV-MA,62 min,"Music & Musicals, Stand-Up Comedy",comic innov deliv surreal set blend experiment song joke grit gun drug improvis comedi adventur,Adults
TV Show,From Dusk Till Dawn,United States,"December 5, 2016",2016,TV-MA,3 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Horror",bankrob brother encount veng lawmen demon south border origin seri base robert rodriguez cult horror film,Adults
Movie,Mercenary,France,"December 4, 2016",2016,TV-MA,99 min,"Dramas, International Movies, Sports Movies",defi cruel father leav new caledonia play rugbi franc young soan learn hard lesson life love success,Adults
TV Show,Lost & Found Music Studios,Canada,"December 3, 2016",2016,TV-G,2 Seasons,"Kids' TV, TV Comedies, TV Dramas",teen singerssongwrit elit music program form bond friendship creativ romanc turn passion profess,Kids
Movie,For the Love of Spock,"Canada, United States","December 2, 2016",2016,TV-14,112 min,Documentaries,son actor leonard nimoy direct move look father portray spock icon star trek charact play 50 year,Teens
Movie,White Girl,United States,"December 2, 2016",2016,TV-MA,90 min,"Dramas, Independent Movies",colleg girl romp new york citi search cocain high find someth real grasp see potenti slip away,Adults
Movie,#Rucker50,United States,"December 1, 2016",2016,TV-PG,56 min,"Documentaries, Sports Movies",documentari celebr 50th anniversari harlem sport program inspir countless citi kid becom pro basketbal player,Older Kids
Movie,1000 Rupee Note,India,"December 1, 2016",2014,TV-14,89 min,"Dramas, International Movies",randomli receiv handsom polit bribe sweet poor elderli woman decid treat shop spree doesnt go smoothli,Teens
Movie,Across Grace Alley,United States,"December 1, 2016",2013,TV-PG,24 min,Dramas,young boy upset parent divorc becom infatu grandmoth neighbor entranc dancer watch window,Older Kids
Movie,Asu Mare 2,Peru,"December 1, 2016",2015,TV-14,100 min,"Comedies, International Movies",win heart true love highsocieti girl hapless common plot chang ident avoid embarrass friend,Teens
TV Show,Back to 1989,Taiwan,"December 1, 2016",2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",young man who learn noth father singl mom freak accid send back 1989 year born,Older Kids
TV Show,Bromance,Taiwan,"December 1, 2016",2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",yanuo rais boy age 25 she caught eye triad leader sister happen reveal true gender,Older Kids
Movie,Interrogation,India,"December 1, 2016",2015,TV-MA,116 min,"Dramas, International Movies, Thrillers",factbas drama polit motiv cop andhra pradesh set frame four tamil labor crime tortur avail,Adults
Movie,Rainbow Time,United States,"December 1, 2016",2016,TV-MA,92 min,"Comedies, Dramas, Independent Movies",development disabl man obsess fonz gun thing kinki pose challeng arrog brother move,Adults
TV Show,Refresh Man,Taiwan,"December 1, 2016",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",ten year oncepromis student graduat find work cosmet compani run boy worst grade school,Teens
Movie,Richard Pryor: Live in Concert,United States,"December 1, 2016",1979,TV-MA,79 min,Stand-Up Comedy,richard pryor classic 1979 concert film discuss wide rang topic includ race polic favorit target,Adults
Movie,The Violin Player,India,"December 1, 2016",2016,TV-14,72 min,"Dramas, Independent Movies, International Movies",unemploy bollywood session violinist mumbai final land small gig happen way home prove truli transform,Teens
Movie,Beauties of the Night,Mexico,"November 25, 2016",2016,TV-MA,92 min,"Documentaries, International Movies",back day disco mexico star night documentari cast new light former queen mexican burlesqu scene,Adults
TV Show,Gilmore Girls: A Year in the Life,United States,"November 25, 2016",2016,TV-14,1 Season,"TV Comedies, TV Dramas, Teen TV Shows",set nearli decad final origin seri reviv follow lorelai rori emili gilmor four season chang,Teens
Movie,Michael Che Matters,United States,"November 25, 2016",2016,TV-MA,61 min,Stand-Up Comedy,snl star michael che take hotbutton topic like inequ homophobia gentrif standup set film live brooklyn,Adults
Movie,Mercy,United States,"November 22, 2016",2016,TV-MA,88 min,"Dramas, Thrillers",two brother clash halfsibl visit home see die mother surfac old secret becom fight surviv,Adults
Movie,The Land of Cards,India,"November 22, 2016",2012,TV-14,113 min,"Dramas, Independent Movies, International Movies",royal princ arriv island fascist rule inspir rebellion among women hallucinogen adapt classic play,Teens
Movie,Carlos Ballarta: El amor es de putos,Mexico,"November 21, 2016",2016,TV-MA,67 min,Stand-Up Comedy,carlo ballarta mock daili life mexico includ public transit educ system corn seller betray confid,Adults
Movie,Donald Glover: Weirdo,United States,"November 19, 2016",2012,TV-MA,65 min,Stand-Up Comedy,fearlessli funni standup comic sitcom star donald glover put live show new york confess love cocoa puff toy r us,Adults
Movie,Colin Quinn: The New York Story,United States,"November 18, 2016",2016,TV-MA,62 min,Stand-Up Comedy,snl veteran perform offbroadway show histori new york peopl shape person direct jerri seinfeld,Adults
Movie,Divines,"France, Qatar","November 18, 2016",2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",shrewd teenag wisecrack best friend plan get rich die tri follow footstep flashi femal drug dealer,Adults
TV Show,La Niña,Colombia,"November 18, 2016",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",former colombian guerrilla fighter face challeng reintegr societi tri overcom traumat memori,Adults
TV Show,Paranoid,United Kingdom,"November 17, 2016",2016,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",woman brutal murder playground group detect find drawn dark conspiraci search killer,Adults
Movie,Dieter Nuhr: Nuhr in Berlin,Germany,"November 15, 2016",2016,TV-MA,69 min,Stand-Up Comedy,cerebr popular german cabaret comic expound theori gender norm primal instinct decidedli gastrointestin big bang,Adults
Movie,Mumbai Cha Raja,India,"November 15, 2016",2012,TV-MA,77 min,"Dramas, Independent Movies, International Movies",comingofag tale follow rahul young boy grow mumbai slum whose alcohol father abus mother,Adults
Movie,True Memoirs of an International Assassin,United States,"November 11, 2016",2016,TV-14,98 min,"Action & Adventure, Comedies",publish market crime novel memoir novic author find forcibl recruit deadli polit plot venezuela,Teens
TV Show,Einsatzgruppen: The Nazi Death Squads,France,"November 10, 2016",2009,TV-MA,1 Season,"Docuseries, International TV Shows",documentari seri examin einsatzgruppen nazi respons mass murder jew romani soviet prison eastern europ,Adults
Movie,Kathleen Madigan: Bothering Jesus,United States,"November 10, 2016",2016,TV-MA,71 min,Stand-Up Comedy,irish american comic riff everyth grow missouri sign parent uber driver anyth bacon,Adults
TV Show,Case,Iceland,"November 9, 2016",2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",smart lawyer whose drink reckless send path selfdestruct find new purpos investig teenag appar suicid,Adults
TV Show,Danger Mouse,United Kingdom,"November 9, 2016",2016,TV-Y7,2 Seasons,"British TV Shows, Kids' TV",world greatest superspi return save world help hapless hamster penfold collect stateoftheart gadgetri,Older Kids
Movie,"Dana Carvey: Straight White Male, 60",United States,"November 4, 2016",2016,TV-MA,64 min,Stand-Up Comedy,emmywin comedian dana carvey blend pitchperfect take big person sotrueithurt stori life dad millenni,Adults
Movie,The Ivory Game,Austria,"November 4, 2016",2016,TV-14,112 min,Documentaries,filmmak infiltr corrupt global network ivori traffick expos poacher dealer african eleph edg closer extinct,Teens
